SalesDate,y_pred,y_lo,y_hi
2018-05-10,33300533.229216173,33105632.75695036,33602580.06250931
2018-05-11,33236284.533254094,33041384.06098828,33538331.366547234
2018-05-12,33192896.321036946,32913965.260009304,33492253.47604406
2018-05-13,33168690.67129495,32889759.610267308,33468047.826302063
2018-05-14,33240891.082973476,33045990.610707663,33542937.916266616
2018-05-15,33223819.92369335,33028919.451427538,33525866.75698649
2018-05-16,33218857.810089253,33023957.33782344,33520904.643382393
2018-05-17,33218271.105218686,33023370.632952873,33520317.938511826
2018-05-18,33242199.386273634,33047298.91400782,33544246.219566774
2018-05-19,33193101.228987332,32914170.16795969,33492458.383994445
2018-05-20,33237907.828363866,32958976.767336223,33537264.98337098
2018-05-21,33237447.706544157,33042547.234278344,33539494.539837297
2018-05-22,33232209.88930306,33037309.417037245,33534256.7225962
2018-05-23,33175692.269637637,32980791.797371823,33477739.102930777
